asx_ticker,company,n_etfs,etfs,etf_shares,adv_dollars_63d,etf_pct_float,days_to_exit_20pct_adv,inflow5_buy_days,forced_flow_score
STO.AX,Santos Limited,24,"A200.AX,ACWX,AUMF.AX,EPP,EWA,FLAU,GEAR.AX,HVST.AX,IOZ.AX,IVE.AX,IXC,IXUS",176480537.0,116114972.30888887,0.05446480165903708,59.44150066150964,0.3706453645734876,0.7387013920498251
FMG.AX,Fortescue Ltd,30,"A200.AX,ACWX,AUMF.AX,EPP,EWA,FLAU,GEAR.AX,GNR,HGEN.AX,IHD.AX,ILC.AX,IOZ.AX",93143289.0,122514916.78746033,0.03025149408334094,79.496967724966,0.5184401131534095,0.7372155986842476
DXI.AX,Dexus Industria REIT,9,"AUMF.AX,ISO.AX,QOZ.AX,REET,VAP.AX,VAS.AX,VNQI,VPL,VSO.AX",16840742.0,1743170.6393650793,0.05351261812612407,116.0582818985411,0.6518149032765577,0.7365972401005054
AGL.AX,AGL Energy Limited,19,"A200.AX,AUMF.AX,EX20.AX,FLAU,GEAR.AX,HVST.AX,IOZ.AX,IXUS,MVE.AX,MVOL.AX,MVW.AX,QOZ.AX",33872070.0,22343291.54920635,0.050348880440152184,69.94280930771932,0.4774188557169004,0.7323086128744047
VUL.AX,Vulcan Energy Resources Limited,11,"FAIR.AX,GEAR.AX,IOZ.AX,ISO.AX,IXUS,LIT,PICK,REMX,VAS.AX,VPL,VSO.AX",33080927.0,8268614.75984127,0.1395249983808555,71.08300926093526,0.48101518365538676,0.7295617906643048
ALD.AX,Ampol Limited,19,"A200.AX,EX20.AX,FLAU,GEAR.AX,IOZ.AX,IXUS,MVE.AX,MVOL.AX,MVR.AX,MVW.AX,QOZ.AX,QRE.AX",13746952.0,38635624.46809524,0.057687078954422,60.51999829828598,0.4394849441840661,0.726789945827896
BOE.AX,Boss Energy Limited,7,"ISO.AX,URA,URNJ,URNM,URNM.AX,VAS.AX,VPL",93974825.0,8153659.645238096,0.22634991268742097,82.50657848493334,0.48818845797103827,0.7251910000067471
AEE.AX,Aura Energy Limited,3,"URA,URNJ,URNM.AX",84820944.0,394593.90049206355,0.08320346857098014,122.14975861058254,0.7833723048850347,0.7246099732298326
CGF.AX,Challenger Limited,20,"A200.AX,AUMF.AX,EX20.AX,FAIR.AX,FLAU,GEAR.AX,GRNV.AX,HVST.AX,IOZ.AX,IXUS,MVE.AX,MVOL.AX",24979789.0,14568594.077142853,0.03652994548553643,75.66967739713112,0.5506189184262735,0.7238817172229663
QRI.AX,Qualitas Real Estate Income Fund,2,"VAP.AX,VAS.AX",34255845.0,1370022.2993650793,0.05427751915629892,193.8476412450761,1.00897477877509,0.7227355694165571
ALL.AX,Aristocrat Leisure Limited,19,"A200.AX,ACWX,EPP,EWA,FLAU,GEAR.AX,ILC.AX,IOZ.AX,IVE.AX,IXUS,MVOL.AX,MVW.AX",24438568.0,75362439.9684127,0.04060961731325728,80.49773995830512,0.4923575685705126,0.7196186005295374
