asx_ticker,n_asx_etfs,etfs,etf_shares,inflow5_usd,adv_dollars_63d,last_close,etf_pct_float,days_to_exit_20pct_adv,inflow5_buy_days,forced_flow_score
EDV.AX,15,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IHD.AX,IOZ.AX,MVE.AX,MVOL.AX,MVW.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VSO.AX,ZYAU.AX",77950717.0,8863042.85891469,16569906.875238094,3.31,0.04341046828189818,75.35641407730581,0.5348879100919712,0.8253549837089941
TLC.AX,12,"A200.AX,EX20.AX,GEAR.AX,HVST.AX,IOZ.AX,IVE.AX,MVOL.AX,MVW.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX",101858985.0,17529513.31510331,27404409.884920638,5.56,0.045763445098463654,100.50918210189289,0.6396603097353678,0.8243319096307336
INA.AX,10,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,QOZ.AX,VAP.AX,VAS.AX,VSO.AX",26860096.0,3116405.561402397,4579028.166190477,4.23,0.06590088054703305,115.78522751143186,0.6805823087991816,0.8224360129450122
MND.AX,13,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IHD.AX,IOZ.AX,ISO.AX,MVR.AX,QOZ.AX,VAS.AX,VHY.AX,VSO.AX,ZYAU.AX",4130130.0,4527582.333603732,6691079.565555555,29.55,0.0412629386661843,90.44122416141944,0.6766594671674347,0.820543693805906
VISM.AX,4,"VDBA.AX,VDCO.AX,VDGR.AX,VDHG.AX",1742230.0,1552180.1150218,1523235.1228571425,78.55,0.15259201385333557,423.8416424099244,1.019002314042211,0.816462190490091
JBH.AX,17,"A200.AX,AUMF.AX,EX20.AX,FAIR.AX,GEAR.AX,GRNV.AX,HVST.AX,IOZ.AX,MVE.AX,MVOL.AX,MVW.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VSO.AX,WDMF.AX",5542107.0,15494727.645929113,36413175.00412698,77.75,0.05068970277158531,56.48655892538057,0.42552531176347513,0.8163765488527159
CQR.AX,10,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,QOZ.AX,VAP.AX,VAS.AX,VSO.AX",33747427.0,3832170.0902251317,5739145.9339682525,3.99,0.0580621263532929,111.8733838555659,0.6677248033620624,0.8159951615328142
WOR.AX,15,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,MVE.AX,MVOL.AX,MVR.AX,MVW.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VSO.AX,ZYAU.AX",25706867.0,12287401.518214134,26548083.5168254,12.3,0.050771659951573414,58.17904823954321,0.4628357263689764,0.8066750819488631
CQE.AX,6,"AUMF.AX,ISO.AX,QOZ.AX,VAP.AX,VAS.AX,VSO.AX",18795653.0,1285739.8463389997,1551256.5538095238,2.67,0.05064729042988449,157.27779373705783,0.8288376562738916,0.8063268966758447
MQG.AX,16,"A200.AX,AUMF.AX,GEAR.AX,GRNV.AX,ILC.AX,IOZ.AX,IVE.AX,MVB.AX,MVOL.AX,MVW.AX,QFN.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VLC.AX",14207541.0,102778230.09906213,204190875.22984126,247.92,0.037276591497586456,80.70909944640545,0.5033438932242831,0.8045959951231235
