asx_ticker,company,n_etfs,etfs,etf_shares,etf_value_usd,last_close_aud,adv_shares_63d,adv_dollars_63d_aud,shares_outstanding,etf_pct_of_shares_out,days_to_exit_at_100pct_adv,days_to_exit_at_20pct_adv
MAH.AX,MACMAHON HOLDINGS LTD,1,PICK,1647485,1109086.9,0.965,5693654.920634921,4718938.693174602,2133288151.295337,0.0007722749498231843,0.2893545574792725,1.4467727873963627
MLX.AX,METALS X LTD,1,PICK,1204020,1215819.4,1.43,4370946.126984127,6531065.182380954,886391538.245614,0.0013583387792521695,0.2754598123657845,1.3772990618289223
MI6.AX,MINERALS 260  LTD,1,PICK,2749089,1792852.75,0.985,10554492.047619049,8447356.150079366,2263627776.6497464,0.001214461594948598,0.26046625338262086,1.3023312669131042
IPX.AX,IPERIONX LTD,1,PICK,376081,1149848.85,4.35,1599273.3174603174,7348552.512063493,339384069.8850575,0.001108128027716124,0.2351574279981268,1.175787139990634
SRL.AX,SUNRISE ENERGY METALS LTD,1,PICK,125591,1567658.26,17.64,670282.0634920635,8438477.24031746,153785000.0,0.0008166661247846019,0.18737037262446016,0.9368518631223006
LIN.AX,LINDIAN RESOURCES LTD,1,PICK,1828350,1057757.61,0.88,9869023.873015873,7978098.383809525,1122347832.9545455,0.0016290404332023575,0.18526148315428836,0.9263074157714418
SMR.AX,STANMORE RESOURCES LTD,1,PICK,387860,669087.59,2.47,2106543.714285714,5377169.4087301595,901391634.008097,0.0004302902150038325,0.18412150546399433,0.9206075273199716
EQR.AX,EQ RESOURCES LTD,1,PICK,4700969,890069.72,0.29,31076532.0,8665801.69063492,3429337817.2413797,0.0013708095412371894,0.15127070806999957,0.7563535403499978
ARU.AX,ARAFURA RARE EARTHS LTD,1,PICK,6333447,1132539.08,0.265,42702731.3015873,12877901.053888889,2470753818.867924,0.0025633662696925123,0.1483147987717727,0.7415739938588636
ASM.AX,Australian Strategic Materials Ltd,1,GDXJ,1,0.9,1.33,757691.4603174604,1159819.4511111109,201900000.0,4.952947003467063e-09,1.3197984303281131e-06,6.598992151640565e-06
AVZ.AX,Avz Minerals Ltd,1,REMX,52906510,6655245.54,0.78,0.0,0.0,3528730111.538461,0.014993073521549013,,
BMC.AX,BMC Minerals Ltd,1,SILJ,1335875,2888827.45,,,,,,,
FFX.AX,Firefinch Ltd,1,GDXJ,54133739,2325983.18,,,,1182850000.0,0.04576551464682758,,
